TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season
1610612749,Milwaukee Bucks,77,43,34,0.558,3706.0,3220,6636,0.485,1080,2807,0.385,1330,1769,0.752,632,2705,3337,1947,1038.0,558,359,294,1389,1459,8850,154.0,13,13,13,13,24,14,27,5,9,18,1,14,8,28,30,2,23,22,7,27,19,2,8,13,15,13,2024-25
1610612750,Minnesota Timberwolves,78,46,32,0.59,3774.0,3187,6831,0.467,1176,3111,0.378,1345,1707,0.788,866,2583,3449,2038,1131.0,630,386,358,1422,1495,8895,364.0,1,8,10,10,3,17,22,16,5,5,5,10,13,12,13,13,13,16,20,14,14,11,14,5,14,5,2024-25
1610612740,New Orleans Pelicans,77,21,56,0.273,3711.0,3136,6909,0.454,926,2651,0.349,1272,1685,0.755,937,2407,3344,1985,1128.0,667,411,407,1411,1380,8470,-675.0,13,27,27,27,21,23,16,23,28,26,23,22,16,27,7,27,22,20,18,8,8,22,12,25,26,28,2024-25
1610612752,New York Knicks,77,49,28,0.636,3731.0,3350,6876,0.487,965,2611,0.37,1279,1596,0.801,836,2459,3295,2117,1022.0,625,304,389,1306,1451,8944,331.0,13,5,5,5,14,6,19,4,25,28,8,21,24,5,19,25,24,11,4,18,29,17,4,16,10,7,2024-25
1610612760,Oklahoma City Thunder,77,64,13,0.831,3701.0,3427,7122,0.481,1117,2980,0.375,1290,1573,0.82,817,2632,3449,2075,915.0,798,447,374,1528,1405,9261,1004.0,13,1,1,1,28,4,3,6,6,10,6,19,27,1,20,6,13,12,2,1,2,14,25,24,4,1,2024-25
1610612753,Orlando Magic,78,38,40,0.487,3754.0,2962,6686,0.443,863,2746,0.314,1409,1815,0.776,869,2392,3261,1784,1106.0,686,463,341,1583,1595,8196,-39.0,1,15,15,15,10,28,25,27,30,21,30,3,2,20,12,28,27,30,16,7,1,10,26,1,28,17,2024-25
1610612755,Philadelphia 76ers,78,23,55,0.295,3769.0,3098,6798,0.456,989,2883,0.343,1364,1745,0.782,796,2274,3070,1812,1057.0,722,342,403,1490,1456,8549,-484.0,1,26,26,26,4,26,23,21,21,17,27,7,11,16,22,30,30,28,8,4,24,21,23,14,25,25,2024-25
1610612756,Phoenix Suns,77,35,42,0.455,3726.0,3181,6629,0.48,1111,2902,0.383,1324,1632,0.811,724,2557,3281,2149,1083.0,545,371,315,1395,1449,8797,-189.0,13,19,19,19,15,18,29,7,7,15,3,16,21,2,28,16,25,10,15,29,16,3,9,17,16,21,2024-25
1610612757,Portland Trail Blazers,78,34,44,0.436,3759.0,3161,7022,0.45,1010,2937,0.344,1320,1722,0.767,1033,2443,3476,1852,1239.0,639,412,427,1479,1494,8652,-259.0,1,22,22,22,9,20,7,26,18,12,25,17,12,25,2,26,10,27,29,11,7,25,20,6,21,23,2024-25
1610612758,Sacramento Kings,77,37,40,0.481,3736.0,3312,6947,0.477,967,2726,0.355,1327,1652,0.803,843,2566,3409,2045,1031.0,592,340,333,1466,1431,8918,20.0,13,17,15,17,13,10,12,12,24,24,19,15,19,4,18,15,16,15,6,23,25,8,17,18,13,15,2024-25
1610612759,San Antonio Spurs,77,32,45,0.416,3706.0,3219,6927,0.465,1088,3058,0.356,1253,1621,0.773,851,2518,3369,2220,1061.0,632,438,338,1283,1343,8779,-201.0,13,23,23,23,24,15,14,17,8,7,18,24,22,21,15,22,19,7,9,12,4,9,3,28,17,22,2024-25
1610612761,Toronto Raptors,78,28,50,0.359,3769.0,3232,7067,0.457,913,2620,0.348,1248,1661,0.751,977,2536,3513,2219,1205.0,621,337,462,1663,1428,8625,-364.0,1,24,24,24,4,13,6,20,29,27,24,26,18,29,4,18,7,8,26,19,26,29,30,20,23,24,2024-25
1610612762,Utah Jazz,78,16,62,0.205,3764.0,3131,6895,0.454,1076,3079,0.349,1354,1755,0.772,932,2607,3539,1990,1348.0,518,344,506,1476,1505,8692,-715.0,1,30,30,30,6,24,17,22,10,6,22,9,9,23,8,10,4,19,30,30,23,30,19,4,20,29,2024-25
1610612764,Washington Wizards,77,17,60,0.221,3706.0,3045,6926,0.44,1016,3015,0.337,1251,1606,0.779,816,2554,3370,1938,1206.0,596,399,397,1526,1420,8357,-932.0,13,29,29,29,24,27,15,28,16,9,29,25,23,18,21,17,18,23,27,22,12,18,24,22,27,30,2024-25
